Histogram taken at 1/30/2023 12:26:19 PM
t, Ch 01, Ch 02, Ch 03, Ch 04, Ch 05, Ch 06, Ch 07, Ch 08, Ch 09, Ch 10, Ch 11, Ch 12, Ch 13, Ch 14, Ch 15, Ch 16
1.23E-08,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,35
1.25E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
1.26E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
1.28E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169
1.29E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1606
1.31E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387
1.32E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
1.34E-08,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,35
1.35E-08,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,39
1.37E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
1.39E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35
1.4E-08,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,29
1.42E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
1.43E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
1.45E-08,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,45
1.46E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
1.48E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374
1.5E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1562
1.51E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248
1.53E-08,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,35
1.54E-08,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,33
1.56E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
